source_reference_id,approval_source,proposed_product_id,business_line,product_name,brand_id,category_id,sale_price_cop,image_sha256,proposed_sku,proposed_catalog_code,proposed_slug,sku_resolution_status,catalog_code_resolution_status,slug_resolution_status,product_id_resolution_status,eligibility_status
CATV1-P011-R1R,HUMAN_APPROVED,c8839400-6442-709c-bef5-a53d32cd96f6,BEAUTY_CARE,SHAMPOO ARGAN,57bbddd8-dfe8-44db-b492-158e4a50894b,,41000,307211268d350970a7d1245ec271211dbc90ce40b383a5eb418b6bded80d343a,BC-20020,BCV5-0021,beauty-care-shampoo-argan,RESERVED_IMPORT_RANGE,GENERATED_CANONICAL_SOURCE_CODE,DETERMINISTIC_CANONICAL_SLUG,DETERMINISTIC_SOURCE_UUID,READY_CREATE
CATV1-P011-R2L,HUMAN_APPROVED,e07e6246-619a-6052-25a9-cebc969e83e9,BEAUTY_CARE,ACONDICIONADOR NUEVO,57bbddd8-dfe8-44db-b492-158e4a50894b,,51000,2848c574adbcba94f5d4662708e162c88b9cdd5354d21fac4fb7777f59bec420,BC-20021,BCV5-0022,beauty-care-acondicionador-nuevo,RESERVED_IMPORT_RANGE,GENERATED_CANONICAL_SOURCE_CODE,DETERMINISTIC_CANONICAL_SLUG,DETERMINISTIC_SOURCE_UUID,READY_CREATE
CATV1-P011-R2R,HUMAN_APPROVED,8b36ab1b-c41e-a7d0-a6af-e252ee3b2542,BEAUTY_CARE,SHAMPOO ANTICASPA,57bbddd8-dfe8-44db-b492-158e4a50894b,,51000,c78df799d5e460cd6dea90f3a2ffd9152c31c0699b7653a91aba3ffacbaec724,BC-20022,BCV5-0023,beauty-care-shampoo-anticaspa-p011-r2r,RESERVED_IMPORT_RANGE,GENERATED_CANONICAL_SOURCE_CODE,DETERMINISTIC_CANONICAL_SLUG,DETERMINISTIC_SOURCE_UUID,READY_CREATE
CATV1-P011-R3L,HUMAN_APPROVED,7c430611-0c7a-4e71-cdf7-9ae5e1bb9407,BEAUTY_CARE,GOTAS CBD,57bbddd8-dfe8-44db-b492-158e4a50894b,,36000,290324bf5d500a4ba04638973d85b64f2be244e34b91eb0a833a2d6cb6ac0371,BC-20023,BCV5-0024,beauty-care-gotas-cbd,RESERVED_IMPORT_RANGE,GENERATED_CANONICAL_SOURCE_CODE,DETERMINISTIC_CANONICAL_SLUG,DETERMINISTIC_SOURCE_UUID,READY_CREATE
CATV1-P011-R3R,HUMAN_APPROVED,076e3d14-a126-d25a-ec3f-c81ad338cc15,BEAUTY_CARE,TONICO ANTICAIDA,57bbddd8-dfe8-44db-b492-158e4a50894b,,51000,bfe56039331447140e4fb34f9bd79ba65f9d4c204d66e057cb840fe288a65f3c,BC-20024,BCV5-0025,beauty-care-tonico-anticaida-p011-r3r,RESERVED_IMPORT_RANGE,GENERATED_CANONICAL_SOURCE_CODE,DETERMINISTIC_CANONICAL_SLUG,DETERMINISTIC_SOURCE_UUID,READY_CREATE
CATV1-P012-R1L,HUMAN_APPROVED,43859bdd-7958-f6a6-5251-e1fc286cc75f,BEAUTY_CARE,EXFOLIANTE CAPILAR,57bbddd8-dfe8-44db-b492-158e4a50894b,,66000,2fc027150227f2c79879a76a50e5b98811edd052ff22c14ada37d2d37e2d687f,BC-20025,BCV5-0026,beauty-care-exfoliante-capilar-p012-r1l,RESERVED_IMPORT_RANGE,GENERATED_CANONICAL_SOURCE_CODE,DETERMINISTIC_CANONICAL_SLUG,DETERMINISTIC_SOURCE_UUID,READY_CREATE
CATV1-P014-R1L,HUMAN_APPROVED,c36b2418-2c84-e700-a7bf-5afa3f9c0b6e,BEAUTY_CARE,BRONCEADOR ZANAHORIA,03a73a7c-1a85-4429-b459-c68ad93c9664,,46000,21e454637dc6e8cb2c608b04f040f82c11b6e16821d2587d64b6b5ac4e313f83,BC-20026,BCV5-0027,beauty-care-bronceador-zanahoria,RESERVED_IMPORT_RANGE,GENERATED_CANONICAL_SOURCE_CODE,DETERMINISTIC_CANONICAL_SLUG,DETERMINISTIC_SOURCE_UUID,READY_CREATE
CATV1-P014-R1R,HUMAN_APPROVED,95e55d36-14a7-29be-76eb-3e5689bcb8d1,BEAUTY_CARE,BRONCEADOR COCO,03a73a7c-1a85-4429-b459-c68ad93c9664,,46000,798df4f214568d7ea19c358aab58aebf9efa56a1c7ef403eabb60555858d5814,BC-20027,BCV5-0028,beauty-care-bronceador-coco,RESERVED_IMPORT_RANGE,GENERATED_CANONICAL_SOURCE_CODE,DETERMINISTIC_CANONICAL_SLUG,DETERMINISTIC_SOURCE_UUID,READY_CREATE
CATV1-P014-R2L,HUMAN_APPROVED,16357acd-f09c-08fe-ac91-c0743028ebb5,BEAUTY_CARE,LOCION DE ORO,03a73a7c-1a85-4429-b459-c68ad93c9664,,16000,7c5f45e722cef477cf4c62d2bf5d1a29ff9c91d89eb43efcdf76861e38c009ff,BC-20028,BCV5-0029,beauty-care-locion-de-oro,RESERVED_IMPORT_RANGE,GENERATED_CANONICAL_SOURCE_CODE,DETERMINISTIC_CANONICAL_SLUG,DETERMINISTIC_SOURCE_UUID,READY_CREATE
CATV1-P014-R2R,HUMAN_APPROVED,61bc50dd-6cba-f55f-f1a2-f2219970869d,BEAUTY_CARE,MANTEQUILLA CORPORAL,03a73a7c-1a85-4429-b459-c68ad93c9664,,51000,3923a45ec2bcbf7638db45772081c19258431209f1d42d0bde798cd685762de9,BC-20029,BCV5-0030,beauty-care-mantequilla-corporal-p014-r2r,RESERVED_IMPORT_RANGE,GENERATED_CANONICAL_SOURCE_CODE,DETERMINISTIC_CANONICAL_SLUG,DETERMINISTIC_SOURCE_UUID,READY_CREATE
CATV1-P014-R3L,HUMAN_APPROVED,bed93775-472c-ef57-b6b0-a76411426d59,BEAUTY_CARE,GEL DE ALOE VERA,03a73a7c-1a85-4429-b459-c68ad93c9664,,51000,05efd58a869e7975f046361145c4ba39b3774da981a8893ded77a5eb38497739,BC-20030,BCV5-0031,beauty-care-gel-de-aloe-vera,RESERVED_IMPORT_RANGE,GENERATED_CANONICAL_SOURCE_CODE,DETERMINISTIC_CANONICAL_SLUG,DETERMINISTIC_SOURCE_UUID,READY_CREATE
CATV1-P014-R3R,HUMAN_APPROVED,3f024dc4-5e4d-cdff-7414-7104d853e55e,BEAUTY_CARE,BRONCEADOR EN GEL,03a73a7c-1a85-4429-b459-c68ad93c9664,,51000,54fc84ba0553539c26ce535f6579fb090b94d878d9dc5176910df4937afea82a,BC-20031,BCV5-0032,beauty-care-bronceador-en-gel,RESERVED_IMPORT_RANGE,GENERATED_CANONICAL_SOURCE_CODE,DETERMINISTIC_CANONICAL_SLUG,DETERMINISTIC_SOURCE_UUID,READY_CREATE
CATV1-P015-R1L,HUMAN_APPROVED,93ad9283-dfd5-9764-d0b4-2132e4fce790,BEAUTY_CARE,FRESHING POP,03a73a7c-1a85-4429-b459-c68ad93c9664,,51000,f8e87d7d5073f3fdcab9435b8bce3b435505091d294b4da7ab3dcc67e7f4d7cc,BC-20032,BCV5-0033,beauty-care-freshing-pop,RESERVED_IMPORT_RANGE,GENERATED_CANONICAL_SOURCE_CODE,DETERMINISTIC_CANONICAL_SLUG,DETERMINISTIC_SOURCE_UUID,READY_CREATE
CATV1-P015-R1R,HUMAN_APPROVED,3a97b778-2db1-da3b-3917-0301ee437937,BEAUTY_CARE,AUTOBRONCEADOR,03a73a7c-1a85-4429-b459-c68ad93c9664,,56000,28fd233f865189e6ef1743a55aef146779a5cbb69744bf47048a472ae9195907,BC-20033,BCV5-0034,beauty-care-autobronceador,RESERVED_IMPORT_RANGE,GENERATED_CANONICAL_SOURCE_CODE,DETERMINISTIC_CANONICAL_SLUG,DETERMINISTIC_SOURCE_UUID,READY_CREATE
CATV1-P015-R2L,HUMAN_APPROVED,407c5d77-279c-bc3c-8dfc-02f04e1b08a8,BEAUTY_CARE,BLOQUEADOR,03a73a7c-1a85-4429-b459-c68ad93c9664,,56000,0c05df2418e1391a4b58ce5fb71088f1308ad7e74374fba2e2089e044191802f,BC-20034,BCV5-0035,beauty-care-bloqueador,RESERVED_IMPORT_RANGE,GENERATED_CANONICAL_SOURCE_CODE,DETERMINISTIC_CANONICAL_SLUG,DETERMINISTIC_SOURCE_UUID,READY_CREATE
